Player,TP Off-Season
Josh Allen,1720165.93
Drake Maye,1027321.319
Dak Prescott,1266233.254
Lamar Jackson,812300.578
Jalen Hurts,573388.6433
Bo Nix,1027321.319
Jared Goff,1075103.706
Patrick Mahomes,860082.965
Justin Herbert,860082.965
Caleb Williams,1218450.867
Baker Mayfield,286694.3217
Jordan Love,1194559.674
Bijan Robinson,1385689.221
Derrick Henry,668953.4172
James Cook III,1027321.319
Rico Dowdle,668953.4172
D'Andre Swift,549497.4498
Chase Brown,549497.4498
Javonte Williams,143347.1608
J.K. Dobbins,358367.9021
Jahmyr Gibbs,1361798.028
Josh Jacobs,549497.4498
Jonathan Taylor,1385689.221
Travis Etienne Jr.,453932.6759
Isiah Pacheco,0
Ashton Jeanty,525606.2564
Omarion Hampton,334476.7086
Kyren Williams,740626.9976
De'Von Achane,549497.4498
TreVeyon Henderson,573388.6433
Alvin Kamara,0
Saquon Barkley,358367.9021
Jaylen Warren,238911.9347
Christian McCaffrey,1935186.671
Kenneth Walker III,645062.2237
Bucky Irving,0
Drake London,931756.5454
Zay Flowers,645062.2237
Khalil Shakir,525606.2564
Tetairoa McMillan,406150.289
Rome Odunze,286694.3217
Ja'Marr Chase,1194559.674
CeeDee Lamb,692844.6107
Courtland Sutton,525606.2564
Amon-Ra St. Brown,1003430.126
Nico Collins,740626.9976
Michael Pittman Jr.,310585.5151
Brian Thomas Jr.,71673.58041
Rashee Rice,549497.4498
Ladd McConkey,119455.9674
Puka Nacua,2317445.767
Jaylen Waddle,95564.77388
Justin Jefferson,47782.38694
Stefon Diggs,716735.8041
Chris Olave,621171.0302
Garrett Wilson,95564.77388
A.J. Brown,716735.8041
DK Metcalf,191129.5478
Jaxon Smith-Njigba,1600709.963
Emeka Egbuka,597279.8368
Trey McBride,1552927.576
George Kittle,692844.6107
Dallas Goedert,1027321.319
Brock Bowers,883974.1584
Hunter Henry,1075103.706
Dalton Kincaid,597279.8368
Jake Ferguson,597279.8368
Tyler Warren,453932.6759
Oronde Gadsden,310585.5151
Travis Kelce,334476.7086
Mark Andrews,119455.9674
Sam LaPorta,191129.5478
